Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,"Pengelola, Pengampu",102,CSD60706,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,102,CSD60706,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,75,CSD60706,3,0,0
CSD60706,Administrasi Basis Data,Teknologi Informasi,1,Pengampu,91,CSD60706,3,0,0
CIT62015,Administrasi Sistem,Teknologi Informasi,1,Pengampu,75,CIT62015,4,1,1
CIT62015,Administrasi Sistem,Teknologi Informasi,1,Pengampu,104,CIT62015,4,1,1
CIT62015,Administrasi Sistem,Teknologi Informasi,2,Pengampu,65,CIT62015,4,1,1
COM60004,Algoritma dan Struktur Data,Teknologi Informasi,1,Pengampu,31,COM60004,3,1,1
COM60004,Algoritma dan Struktur Data,Teknologi Informasi,1,Pengampu,75,COM60004,3,1,1
COM60004,Algoritma dan Struktur Data,Teknologi Informasi,2,Pengampu,3,COM60004,3,1,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,16,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,54,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,63,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,77,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,93,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,100,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,1,Pengampu,107,CIT62011,3,0,1
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,2,Pengampu,103,CIT62011,3,0,1
COM60011,Arsitektur dan Organisasi Komputer,Teknologi Informasi,2,Pengampu,103,COM60011,2,0,1
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,"Pengelola, Pengampu",52,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,20,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,48,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,48,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,80,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,93,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,1,Pengampu,102,CSD60707,3,0,0
CSD60707,Big Data dan Analitik,Teknologi Informasi,2,Pengampu,89,CSD60707,3,0,0
COM60061,Capstone Project,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",14,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,"Pengelola, Pengampu",4,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,"Pengelola, Pengampu",47,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,Pengampu,22,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,Pengampu,48,COM60061,3,0,1
COM60061,Capstone Project,Teknologi Informasi,1,Pengampu,76,COM60061,3,0,1
CIT62001,Dasar Desain Antarmuka Pengguna,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",22,CIT62001,3,0,1
CIT62001,Dasar Desain Antarmuka Pengguna,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45,CIT62001,3,0,1
CIT62001,Dasar Desain Antarmuka Pengguna,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,CIT62001,3,0,1
CIT62001,Dasar Desain Antarmuka Pengguna,Teknologi Informasi,1,"Pengelola, Pengampu",4,CIT62001,3,0,1
CIT62001,Dasar Desain Antarmuka Pengguna,Teknologi Informasi,1,"Pengelola, Pengampu",16,CIT62001,3,0,1
CIT62001,Dasar Desain Antarmuka Pengguna,Teknologi Informasi,1,Pengampu,62,CIT62001,3,0,1
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,"Pengelola, Pengampu",4,CIT62003,3,1,1
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,Pengampu,31,CIT62003,3,1,1
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,Pengampu,67,CIT62003,3,1,1
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,1,Pengampu,108,CIT62003,3,1,1
CIT61016,Data Sains,Teknologi Informasi,1,Pengampu,15,CIT61016,3,0,1
CIT61016,Data Sains,Teknologi Informasi,2,Pengampu,89,CIT61016,3,0,1
CIT61021,Data Warehouse,Teknologi Informasi,1,"Pengelola, Pengampu",73,CIT61021,3,0,0
CIT61021,Data Warehouse,Teknologi Informasi,1,"Pengelola, Pengampu",102,CIT61021,3,0,0
CIT61021,Data Warehouse,Teknologi Informasi,1,Pengampu,16,CIT61021,3,0,0
CIT61021,Data Warehouse,Teknologi Informasi,1,Pengampu,16,CIT61021,3,0,0
CSD60704,Desain Basis Data,Teknologi Informasi,1,"Pengelola, Pengampu",22,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,"Pengelola, Pengampu",102,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,1,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,16,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,20,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,29,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,29,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,73,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,75,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,91,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,98,CSD60704,2,0,1
CSD60704,Desain Basis Data,Teknologi Informasi,1,Pengampu,108,CSD60704,2,0,1
COM60052,Etika Profesi,Teknologi Informasi,1,"Pengelola, Pengampu",4,COM60052,2,0,1
COM60052,Etika Profesi,Teknologi Informasi,2,Pengampu,96,COM60052,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CIT62022,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,"Pengelola, Pengampu",4,CIT62022,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,Pengampu,1,CIT62022,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,Pengampu,6,CIT62022,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,Pengampu,16,CIT62022,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,Pengampu,31,CIT62022,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,Pengampu,40,CIT62022,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,Pengampu,40,CIT62022,2,0,1
CIT62022,Implementasi dan Pengujian Sistem Informasi,Teknologi Informasi,1,Pengampu,67,CIT62022,2,0,1
CIT60048,Information Retrieval,Teknologi Informasi,1,"Pengelola, Pengampu",52,CIT60048,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,1,"Pengelola, Pengampu",107,CIT60048,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,1,Pengampu,1,CIT60048,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,1,Pengampu,80,CIT60048,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,1,Pengampu,93,CIT60048,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,2,"Pengelola, Pengampu",47,CIT60048,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,2,Pengampu,89,CIT60048,2,0,0
CIT60048,Information Retrieval,Teknologi Informasi,2,Pengampu,97,CIT60048,2,0,0
CIT61026,Internet of Things,Teknologi Informasi,1,"Pengelola, Pengampu",90,CIT61026,4,1,1
CIT61026,Internet of Things,Teknologi Informasi,1,Pengampu,17,CIT61026,4,1,1
CIT61026,Internet of Things,Teknologi Informasi,1,Pengampu,35,CIT61026,4,1,1
CIT61026,Internet of Things,Teknologi Informasi,2,Pengampu,96,CIT61026,4,1,1
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,1,"Pengelola, Pengampu",4,CSD60714,3,0,0
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,1,Pengampu,1,CSD60714,3,0,0
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,1,Pengampu,40,CSD60714,3,0,0
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,1,Pengampu,60,CSD60714,3,0,0
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,1,Pengampu,67,CSD60714,3,0,0
CIT61015,Jaringan Komputer,Teknologi Informasi,1,"Pengelola, Pengampu",79,CIT61015,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,17,CIT61015,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,35,CIT61015,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,75,CIT61015,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,90,CIT61015,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,104,CIT61015,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,2,"Pengelola, Pengampu",46,CIT61015,4,1,1
CSD60713,Jaringan Terapan,Teknologi Informasi,1,Pengampu,79,CSD60713,3,1,0
CSD60713,Jaringan Terapan,Teknologi Informasi,1,Pengampu,90,CSD60713,3,1,0
COM60025,Kalkulus,Teknologi Informasi,1,Pengampu,100,COM60025,2,0,1
COM60025,Kalkulus,Teknologi Informasi,2,Pengampu,75,COM60025,2,0,1
COM60025,Kalkulus,Teknologi Informasi,2,Pengampu,103,COM60025,2,0,1
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,"Pengelola, Pengampu",46,CIT60044,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,17,CIT60044,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,35,CIT60044,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,41,CIT60044,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,63,CIT60044,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,65,CIT60044,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,75,CIT60044,3,1,0
CSD60709,Keamanan Siber,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CSD60709,2,0,1
CSD60709,Keamanan Siber,Teknologi Informasi,1,Pengampu,17,CSD60709,2,0,1
CSD60709,Keamanan Siber,Teknologi Informasi,1,Pengampu,41,CSD60709,2,0,1
CSD60709,Keamanan Siber,Teknologi Informasi,1,Pengampu,46,CSD60709,2,0,1
CSD60709,Keamanan Siber,Teknologi Informasi,1,Pengampu,63,CSD60709,2,0,1
CSD60709,Keamanan Siber,Teknologi Informasi,1,Pengampu,65,CSD60709,2,0,1
CSD60709,Keamanan Siber,Teknologi Informasi,1,Pengampu,75,CSD60709,2,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,"Pengelola, Pengampu",30,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,"Pengelola, Pengampu",52,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,"Pengelola, Pengampu",92,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,"Pengelola, Pengampu",93,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,"Pengelola, Pengampu",107,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,Pengampu,20,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,Pengampu,29,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,Pengampu,37,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,Pengampu,48,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,Pengampu,63,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,Pengampu,97,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,2,Pengampu,3,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,2,Pengampu,16,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,2,Pengampu,89,CIT62023,3,0,1
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,2,Pengampu,96,CIT62023,3,0,1
UBU60003,Kewirausahaan,Teknologi Informasi,1,Pengampu,15,UBU60003,2,0,1
UBU60003,Kewirausahaan,Teknologi Informasi,2,"Pengelola, Pengampu",47,UBU60003,2,0,1
UBU60003,Kewirausahaan,Teknologi Informasi,2,Pengampu,62,UBU60003,2,0,1
UBU60003,Kewirausahaan,Teknologi Informasi,2,Pengampu,96,UBU60003,2,0,1
CIT60045,Kriptografi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",14,CIT60045,3,0,0
CIT60045,Kriptografi,Teknologi Informasi,1,Pengampu,75,CIT60045,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CIT60031,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,"Pengelola, Pengampu",6,CIT60031,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,13,CIT60031,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,22,CIT60031,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,40,CIT60031,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,48,CIT60031,3,0,0
